"","X1.b_Associative_Trial","X2.b_Associative_Trial","X3.b_Associative_Trial","X4.b_Associative_Trial","treatment_level","species_level","bias_level"
"1",0.0611907372968869,0.0741079090880758,0.0574926776055129,0.066482721316794,"Control Hot","delicata","Red"
"2",0.0611872723883521,0.0742341644571471,0.0575663629972775,0.0588882534233678,"Control Hot","delicata","Red"
"3",0.0613314163184384,0.0690794312974572,0.0580922463227218,0.0578628392197083,"Control Hot","delicata","Red"
"4",0.0638633885441102,0.0723638727026443,0.0627570714670408,0.0587477699220604,"Control Hot","delicata","Red"
"5",0.0675238280505599,0.0648904145248118,0.0632781717581876,0.0565986483524138,"Control Hot","delicata","Red"
"6",0.0662376082336626,0.0695153414033742,0.0627188048693098,0.062410973262589,"Control Hot","delicata","Red"
"7",0.0667669015436644,0.0694802364398672,0.0604559133489736,0.0626064520354832,"Control Hot","delicata","Red"
"8",0.06608221036483,0.0566716142980114,0.0510650525291192,0.0670190458753899,"Control Hot","delicata","Red"
"9",0.049371252723039,0.0558433172138295,0.052473711150357,0.0614570704537431,"Control Hot","delicata","Red"
"10",0.0535045866092178,0.056095576830922,0.0518414223215197,0.0596909156602998,"Control Hot","delicata","Red"
"11",0.0769360890628917,0.0482592940884567,0.0551176109085263,0.0491084726592958,"Control Hot","delicata","Red"
"12",0.0494557809766033,0.0514197947404703,0.0688996102506827,0.055028866113542,"Control Hot","delicata","Red"
"13",0.0622258857396388,0.0507795062349936,0.0670429440872198,0.0533506090367234,"Control Hot","delicata","Red"
"14",0.0524411211994645,0.0579200018958433,0.0626707348989815,0.0543064556617349,"Control Hot","delicata","Red"
"15",0.0525046950900497,0.0647399255565123,0.056148044187713,0.0554333430271758,"Control Hot","delicata","Red"
"16",0.0517794065683439,0.0509109910725297,0.0443425379096434,0.0608335375108289,"Control Hot","delicata","Red"
"17",0.0749995229121039,0.051109358045995,0.0448585063557952,0.0608285304267723,"Control Hot","delicata","Red"
"18",0.0758331495003093,0.0724337416917147,0.0445832737984779,0.05806269168955,"Control Hot","delicata","Red"
"19",0.078498102583621,0.0742659639158579,0.0640698824278617,0.057768873698047,"Control Hot","delicata","Red"
"20",0.0786587823873995,0.06435384783428,0.0689425640808694,0.0696630716774176,"Control Hot","delicata","Red"
"21",0.079528272703804,0.0705112529883806,0.0595773129798524,0.0747917068782158,"Control Hot","delicata","Red"
"22",0.0676686008341138,0.0677724681503454,0.0527364024238931,0.0550982575009422,"Control Hot","delicata","Red"
"23",0.0713844491199783,0.0567044139338593,0.0511820459929092,0.0770139915492139,"Control Hot","delicata","Red"
"24",0.0704559093047887,0.0557895983524364,0.0588027795728919,0.0825266007608623,"Control Hot","delicata","Red"
"25",0.0735025230458013,0.0596994876595719,0.0602229797895471,0.0759110381298586,"Control Hot","delicata","Red"
"26",0.0715891430942293,0.0604849771061254,0.0611630595699251,0.0716567241396218,"Control Hot","delicata","Red"
"27",0.0663673234444909,0.0610784024985893,0.0608022406159512,0.0665350697641523,"Control Hot","delicata","Red"
"28",0.0682512300905478,0.0650444573931095,0.0547353092071714,0.0667561232805765,"Control Hot","delicata","Red"
"29",0.0681004033529726,0.0542965564768122,0.0615883115014923,0.0695776006817752,"Control Hot","delicata","Red"
"30",0.0673489298573463,0.0541108779264486,0.0605102471459621,0.0657977504728289,"Control Hot","delicata","Red"
"31",0.0666496613736172,0.0610268254219839,0.0626879232083194,0.0552387504536523,"Control Hot","delicata","Red"
"32",0.0637529987550012,0.0658837223208762,0.0529963759520529,0.071037758825757,"Control Hot","delicata","Red"
"33",0.0629394719807485,0.0559143958866226,0.062023895425653,0.0725565014053603,"Control Hot","delicata","Red"
"34",0.0634941163731752,0.0553098016410361,0.060945530264853,0.0707713026534983,"Control Hot","delicata","Red"
"35",0.0612982783443905,0.0589456111350244,0.0608477183550605,0.0676729489044533,"Control Hot","delicata","Red"
"36",0.0715777300074735,0.0573928211177031,0.0634287363040312,0.052945092938732,"Control Hot","delicata","Red"
"37",0.0714589560556593,0.0528352051754042,0.0640400536486033,0.0549107681293907,"Control Hot","delicata","Red"
"38",0.063231265842191,0.0734453557081438,0.0482819413707162,0.054722576499746,"Control Hot","delicata","Red"
"39",0.0610369605454795,0.0730580800007763,0.0483157276421264,0.0536775752626619,"Control Hot","delicata","Red"
"40",0.0583580560984324,0.0711523319816287,0.0480752072241047,0.0490863333079311,"Control Hot","delicata","Red"
"41",0.0529173622075867,0.0675169135365073,0.0723095327079684,0.0502974277301516,"Control Hot","delicata","Red"
"42",0.0524590101368791,0.0731683785580442,0.0728650429404146,0.0399720457298238,"Control Hot","delicata","Red"
"43",0.054037256754816,0.0519131491880832,0.0731051144563837,0.0398148338025927,"Control Hot","delicata","Red"
"44",0.0549451479472821,0.0715640019079148,0.0734547165645833,0.0455665314592711,"Control Hot","delicata","Red"
"45",0.0535803049116487,0.0692507005943568,0.0598893080074989,0.0604894480656916,"Control Hot","delicata","Red"
"46",0.0577693937505825,0.0611712719748847,0.0610678321354008,0.0602251592245302,"Control Hot","delicata","Red"
"47",0.0658257264284154,0.0691688142408117,0.0768017269186131,0.0599068928501892,"Control Hot","delicata","Red"
"48",0.0658419474964648,0.0636053524897358,0.0750313823948415,0.0605712302845776,"Control Hot","delicata","Red"
"49",0.0777705928992537,0.0688106455874846,0.06855237435718,0.060679711010665,"Control Hot","delicata","Red"
"50",0.0780827692298813,0.0631303193491171,0.0538127589192043,0.0660636396539233,"Control Hot","delicata","Red"
"51",0.0483574698046944,0.0631831821077372,0.0664259398826211,0.0651313963338806,"Control Hot","delicata","Red"
"52",0.0489627239443456,0.0628020690441292,0.0512452348145732,0.0577827520971334,"Control Hot","delicata","Red"
"53",0.06835403462198,0.0624923401808481,0.0507975376012514,0.0610422885410654,"Control Hot","delicata","Red"
"54",0.0532629816245227,0.0557133740149807,0.0519600769366891,0.06756917763971,"Control Hot","delicata","Red"
"55",0.0535086561073823,0.0751330609334208,0.0513015163459876,0.0626099591300089,"Control Hot","delicata","Red"
"56",0.0533198870222192,0.0774234105827417,0.0631116158183691,0.0619123579551673,"Control Hot","delicata","Red"
"57",0.0578072454539261,0.0522827783324138,0.0680419663183695,0.0543064137623386,"Control Hot","delicata","Red"
"58",0.0642393220905892,0.0523681255682152,0.0680166299667427,0.0472940329231453,"Control Hot","delicata","Red"
"59",0.0605588910552418,0.0676358577435347,0.058039294014673,0.0482822592835357,"Control Hot","delicata","Red"
"60",0.047000155354897,0.0670275806362923,0.0545024716883089,0.0585444297056789,"Control Hot","delicata","Red"
"61",0.046860234137772,0.066411194853423,0.0554797548767149,0.0747565415742329,"Control Hot","delicata","Red"
"62",0.0725860372926193,0.0586778459124066,0.0555149092083353,0.0534156232965496,"Control Hot","delicata","Red"
"63",0.0688966126923855,0.0517044573309811,0.0543401125579607,0.0605487795122273,"Control Hot","delicata","Red"
"64",0.0650918059786258,0.0608353463425187,0.0495428022046363,0.0547938813693626,"Control Hot","delicata","Red"
"65",0.0646048367364552,0.0631015738573154,0.0715610133323111,0.0671422499780587,"Control Hot","delicata","Red"
"66",0.0637028895768798,0.0656536471516898,0.0633075502727557,0.0730132659805053,"Control Hot","delicata","Red"
"67",0.0645475570451805,0.0627317191117464,0.0484412452782427,0.0564502026642122,"Control Hot","delicata","Red"
"68",0.065976699915422,0.0592536761954192,0.0483550657770791,0.0672672238346367,"Control Hot","delicata","Red"
"69",0.0628218375857486,0.0577494378984541,0.0485331067003323,0.0625794408796771,"Control Hot","delicata","Red"
"70",0.0631720759246729,0.0729515468302221,0.0568797064423005,0.0603950326328126,"Control Hot","delicata","Red"
"71",0.0656449628817558,0.0650197583541254,0.0661000177222299,0.0588399074381161,"Control Hot","delicata","Red"
"72",0.0652859875079691,0.0551231196165537,0.0517273361992578,0.0566210255059919,"Control Hot","delicata","Red"
"73",0.071837874917243,0.0545210223610693,0.0579604030873696,0.0627437439243681,"Control Hot","delicata","Red"
"74",0.0660716642667035,0.0524457207283553,0.0686884091183708,0.0434134018519511,"Control Hot","delicata","Red"
"75",0.0629486019829975,0.0521053035989891,0.0634524295814345,0.0463750825858603,"Control Hot","delicata","Red"
"76",0.0904174511892295,0.0521153385850395,0.055780116002375,0.047952308274835,"Control Hot","delicata","Red"
"77",0.0836284385912236,0.0635600538309372,0.0559829043777029,0.082447991016525,"Control Hot","delicata","Red"
"78",0.0762537108609264,0.053860756926095,0.0694390657598636,0.0821024220932965,"Control Hot","delicata","Red"
"79",0.0760696684789004,0.0538678150549067,0.0727249608840285,0.0576638819462082,"Control Hot","delicata","Red"
"80",0.0577856214108761,0.0560002638717701,0.0468648541298487,0.0576239670006147,"Control Hot","delicata","Red"
"81",0.0584925909537985,0.0640051769424913,0.0476067363180377,0.0547929446739563,"Control Hot","delicata","Red"
"82",0.0587356602919059,0.0633306930482,0.0475812836737994,0.0560399609451824,"Control Hot","delicata","Red"
"83",0.062267252806366,0.0617653096304121,0.0481398567024223,0.0550722291932667,"Control Hot","delicata","Red"
"84",0.0354991327905763,0.066692451845142,0.0532584408258999,0.0613112215069227,"Control Hot","delicata","Red"
"85",0.0376082426455748,0.0700278699385584,0.0652715773381029,0.0719745216819086,"Control Hot","delicata","Red"
"86",0.0315083045545626,0.0682427961468413,0.0656452442462973,0.0636310289202075,"Control Hot","delicata","Red"
"87",0.0444220874031324,0.0576896878963087,0.0631814120992307,0.0721772297210882,"Control Hot","delicata","Red"
"88",0.0485226929975801,0.0581521344931524,0.0667508230260122,0.0628410151150704,"Control Hot","delicata","Red"
"89",0.048529935535127,0.0590875204692874,0.0570718703986178,0.064984890629804,"Control Hot","delicata","Red"
"90",0.0485702588081221,0.0591705016611059,0.049219717376348,0.0670410771665996,"Control Hot","delicata","Red"
"91",0.0411572893528346,0.0706291605980536,0.0705229440216832,0.0723379044608464,"Control Hot","delicata","Red"
"92",0.0406398115318574,0.0685167521911456,0.0705864914700307,0.0669904824188357,"Control Hot","delicata","Red"
"93",0.041245680921776,0.0684696145254139,0.064618875712521,0.0660807752685548,"Control Hot","delicata","Red"
"94",0.081575167746304,0.0711434513755015,0.065047365704986,0.0611994470869549,"Control Hot","delicata","Red"
"95",0.061633499984737,0.0608476806481104,0.0632173640395245,0.0618584572791138,"Control Hot","delicata","Red"
"96",0.0749010233642475,0.0766277457537509,0.0631861693039798,0.0595652190241301,"Control Hot","delicata","Red"
"97",0.072205485081076,0.0741992756743237,0.0600182817747034,0.0686119655788666,"Control Hot","delicata","Red"
"98",0.0723681196220623,0.063038942201801,0.0714882597156675,0.0557090325936999,"Control Hot","delicata","Red"
"99",0.072356596732058,0.073234121405708,0.0714592533326965,0.0617981774209172,"Control Hot","delicata","Red"
"100",0.0664957966838838,0.0741556392434125,0.0720664586064793,0.062033251896385,"Control Hot","delicata","Red"
